Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,"$13,270","$12,482",2,4,130,26,33,2612,103,168
Ford,Focus LX 4dr,Sedan,USA,Front,"$13,730","$12,906",2,4,110,27,36,2606,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,"$15,460","$14,496",2,4,130,26,33,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,"$15,580","$14,607",2,4,130,26,33,2691,103,168
Ford,Focus SVT 2dr,Sedan,USA,Front,"$19,135","$17,878",2,4,170,21,28,2750,103,168
Ford,Taurus LX 4dr,Sedan,USA,Front,"$20,320","$18,881",3,6,155,20,27,3306,109,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,"$22,735","$20,857",3,6,201,19,26,3313,109,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,"$24,345","$22,856",4.6,8,224,17,25,4057,115,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,"$27,370","$25,105",4.6,8,224,17,25,4057,115,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,"$30,315","$27,756",4.6,8,239,17,25,4057,115,212
Ford,Freestar SE,Sedan,USA,Front,"$26,930","$24,498",3.9,6,193,17,23,4275,121,201
